,Unnamed: 0.1,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,msd_track_id
0,0,98,7DYsBLdOqz0z14tYWMt2Tn,KT Tunstall,Del gusto de mamá,Hold On,0,177613,False,0.661,0.937,4,-5.157,0,0.0979,0.322,1.04e-06,0.19,0.805,105.549,4,acoustic,TRBTWXE128F933EF94
9,9,99,7cPuE0M35EajWPRO3nRcH8,KT Tunstall,OO's Music Grandi Successi,Suddenly I See,0,199040,False,0.603,0.78,0,-5.531,1,0.0438,0.139,0.0,0.164,0.693,100.499,4,acoustic,TRFPXXU128F933D7EB
27,27,137,5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,Eye To The Telescope,Suddenly I See,73,201706,False,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,4,acoustic,TRFPXXU128F933D7EB
45,45,152,5aDpULK8MbJmHl42kR5KNI,Howie Day,Stop All The World Now,Collide,56,249120,False,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,4,acoustic,TROHRUF128F42AD54A
46,46,169,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,Little Voice,Love Song,73,258826,False,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,4,acoustic,TRKPRLO128F426624C
49,49,212,6dwkFmLUz6hx2CZG2EqLol,Howie Day,Stop All The World Now,Collide,66,249120,False,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,4,acoustic,TROHRUF128F42AD54A
50,50,535,5bC6ONDsL88snGN6QasjZH,Sonny Boy Williamson II,More Real Folk Blues,Help Me,60,188200,False,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,4,acoustic,TRNXGVM128F42B743D
58,58,687,0P0v83waDX4ElzSgmF1cG5,KT Tunstall,Eye To The Telescope,Other Side Of The World,29,214560,False,0.427,0.695,2,-5.378,1,0.0343,0.487,0.0,0.0836,0.368,160.142,4,acoustic,TRQILVS128F9341FDB
61,61,838,4A9E08l34BkPsCDAmOpHxb,KT Tunstall,Eye To The Telescope,Other Side Of The World,61,214560,False,0.501,0.684,2,-5.368,1,0.0302,0.485,0.0,0.083,0.369,80.039,4,acoustic,TRQILVS128F9341FDB
64,64,1749,77R3mOaInbXGRjTjWlwjug,Hugh Masekela,60's Gold,Grazing In The Grass,19,156946,False,0.673,0.697,5,-6.953,1,0.0271,0.518,0.831,0.256,0.911,107.46,4,afrobeat,TRDVUUV128F4272B2E
